# relpath	width	height	bytes	sha256
platformer-art-deluxe/Base pack/HUD/hud_keyRed.png	44	40	994	c70e48fef5fd738102fa57f75653b6044622ad31a6f5dd006291f53ac8a554e0
platformer-art-deluxe/Base pack/HUD/hud_keyRed_disabled.png	44	40	842	5e84b5802ee8816c348a8b149b44d67ffa8376d71075aed91973b81863e3f929
platformer-art-deluxe/Base pack/HUD/hud_keyYellow.png	44	40	1016	d74b3108469c954e5ba1b903a0075d955e20e6652809db4901a73789c7a83dbc
platformer-art-deluxe/Base pack/HUD/hud_keyYellow_disabled.png	44	40	881	e79235a084164d4a6a553445861252cd67d876b136f165b2682b9cc25f095d86
platformer-art-deluxe/Base pack/HUD/hud_p1.png	47	47	1356	c192c977849d097e43d23d0176fe2935250a4c855100b8a0df99f128cb184744
platformer-art-deluxe/Base pack/HUD/hud_p1Alt.png	47	47	1609	a406e0f2c7a3f692c7af31ecfdb97e6e092a40d111b8a9336a4161f5686cb846
platformer-art-deluxe/Base pack/HUD/hud_p2.png	47	47	1332	dc539ddcedd290455cd270b4c82e9eb302172fddb14112823da4319b40b5acb7
platformer-art-deluxe/Base pack/HUD/hud_p2Alt.png	47	47	1565	44d126acdeb055e08d90bfb9a4788af18ddef8ef477279b50a8ee13cb0649ba9
platformer-art-deluxe/Base pack/HUD/hud_p3.png	47	47	1467	7cc99f542fb0cb319dc824648f6c0740814a3f5a68b1374ff1145ce80fc32d8a
platformer-art-deluxe/Base pack/HUD/hud_p3Alt.png	47	47	1682	7fb18d2d2c7b7c46afe62618411e3c052a88147d65e2e54d138f90375cf963a7
platformer-art-deluxe/Base pack/HUD/hud_x.png	30	28	595	de54a18cfa7c1bed6327036a411bce4e81140fee4c579de95f4970da7dab5d4e
platformer-art-deluxe/Base pack/Items/bomb.png	70	70	1647	63fec18a638e411b70170aa7fa9db4f8262bd16130c5d802870a0f391e572737
platformer-art-deluxe/Base pack/Items/bombFlash.png	70	70	813	e2a8f7a0454cc1a2a915f076fa3e3856babc54e18f22b77a6176be1dfc008d12
platformer-art-deluxe/Base pack/Items/bush.png	70	70	3628	9e1bfe7700d79059ec199460061ee2cc405a3f3701f8e9ed55c6ad5459da7f49
platformer-art-deluxe/Base pack/Items/buttonBlue.png	70	70	2061	cc8795567d638c428e6a2dd0e08a26c180b5e373a13bb7cb62c2636ef5c0bc13
platformer-art-deluxe/Base pack/Items/buttonBlue_pressed.png	70	70	1651	0a1616b33b277c433beba7c63d3f14b9602c3ecd18937b43732cdd2d73cd5708
platformer-art-deluxe/Base pack/Items/buttonGreen.png	70	70	2089	a8260eb5d56b9010554c750f24e33b36c966fc2c37123cd291c9fb03e8d7272a
platformer-art-deluxe/Base pack/Items/buttonGreen_pressed.png	70	70	1662	19ef0b0801eb34be995c432d3bbbdf8b2b54dea3f095184a61ea56ca26a4e08e
platformer-art-deluxe/Base pack/Items/buttonRed.png	70	70	2051	169b925b1b6a0e05079e2ea3f1000976136ea1cdaec9c27e117608309c266bf0
platformer-art-deluxe/Base pack/Items/buttonRed_pressed.png	70	70	1641	183847d10fb7ec23522f93f2e008f8c9bf46c55f1a32082222876597b037d9fb
platformer-art-deluxe/Base pack/Items/buttonYellow.png	70	70	2040	5a48a1358532c905544c5311c42a8416895053c56fd8bda2cf52dabf5974f34d
platformer-art-deluxe/Base pack/Items/buttonYellow_pressed.png	70	70	1620	2f59e09bed648b18dd71b726dceb904506bea30c1184d767650f321d14af4996
platformer-art-deluxe/Base pack/Items/cactus.png	70	70	3641	3537d29ebcdc0a16dfd6b902bcf73e4fc02e2df4d4581885d6a1cac58703b8b0
platformer-art-deluxe/Base pack/Items/chain.png	70	70	1676	1cbf1dd2ab223ed7db8f3781e153daed4d9a12885e8131bdbb89d39f954be8ee
platformer-art-deluxe/Base pack/Items/cloud1.png	128	71	1318	d720222a684d1894149d15a56282501f702921410bfd00e347a2a7e6c1a342cd
platformer-art-deluxe/Base pack/Items/cloud2.png	129	71	1305	60e9fe9f90ae799365b87bdd0a27eaf49e4a7cc7f305f0102ebc2ef53bf258ac
platformer-art-deluxe/Base pack/Items/cloud3.png	129	71	1298	0cd16d402c7f13a74dbaf383887bf94fd9c2417060e3d008208ebe24af4236aa
platformer-art-deluxe/Base pack/Items/coinBronze.png	70	70	2205	07a349203d04f67cf8ae2a375cd206d352c8ad24f65e14df0b76b7de97f7ff50
platformer-art-deluxe/Base pack/Items/coinGold.png	70	70	2147	46ff6d4c9f68c864dd770823b65efea68d587a3bffddfecb49009c513665462c
platformer-art-deluxe/Base pack/Items/coinSilver.png	70	70	2159	f9b7dd9ec1efa95478a3c4789234c96560e8c2725b14c643b5ad537e83d8b148
platformer-art-deluxe/Base pack/Items/fireball.png	70	70	1604	fe88d76003a020063b2d33f6f9d4b5e9008772537464bbc85ba4a3919f562620
